spring_id,latitude,longitude,elevation_m,slope_deg,annual_rainfall_mm,soil_moisture_index,land_use,geology,distance_to_stream_m,lineament_density_index,groundwater_depth_m,recharge_suitability,discharge_lpm,seasonality,spring_type,nearby_village_id,nearby_village,state,tribal_belt
SPR-001,23.50898,84.89358,859,16.2,995,0.28,forest,sandstone,879,0.44,7.2,41.9,40.4,Seasonal,contact spring,VIL-001,Hesatu,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-002,23.51213,84.97882,484,21.3,1290,0.6,forest,sandstone,158,0.45,20.9,68.3,19.8,Seasonal,fracture spring,VIL-002,Jariya,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-003,23.47123,85.00019,717,24.2,1203,0.38,agroforestry,fractured_rock,1050,0.84,37.1,51.5,25.3,Seasonal,seep,VIL-003,Kulhi,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-004,23.45787,84.90236,796,11.4,978,0.82,barren,fractured_rock,555,0.16,31.6,52.4,25.6,Seasonal,depression spring,VIL-004,Biren,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-005,23.44141,84.93495,680,18.6,1432,0.85,grassland,sandstone,795,0.42,28.5,55.9,32.6,Perennial,fracture spring,VIL-005,Toto,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-006,23.40374,85.00014,703,9.5,1060,0.3,agriculture,fractured_rock,999,0.79,7.5,57.7,31.7,Seasonal,fracture spring,VIL-006,Silam,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-007,23.4927,84.93647,698,9.8,1186,0.51,forest,sandstone,415,0.43,35.2,63.6,25.7,Perennial,seep,VIL-007,Ambatoli,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-008,23.45508,84.98018,807,10.0,1045,0.54,agroforestry,weathered_granite,304,0.84,20.5,65.8,19.1,Seasonal,seep,VIL-008,Kotam,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-009,23.44507,84.92779,802,8.0,1192,0.39,agroforestry,fractured_rock,441,0.89,14.3,68.2,17.8,Perennial,depression spring,VIL-009,Puto,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-010,23.39464,84.9559,848,17.9,1221,0.74,forest,sandstone,573,0.78,10.5,66.3,22.4,Seasonal,seep,VIL-010,Gerda,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-011,23.53026,84.94706,525,25.4,1073,0.64,agriculture,weathered_granite,658,0.52,37.7,50.2,34.5,Seasonal,fracture spring,VIL-011,Chirgora,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-012,23.44097,85.02393,725,15.0,1414,0.86,forest,sandstone,636,0.18,23.8,63.1,23.8,Perennial,seep,VIL-012,Banai,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-013,23.52338,84.89809,539,24.0,1301,0.65,barren,sandstone,48,0.75,15.5,56.6,18.1,Seasonal,seep,VIL-001,Hesatu,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-014,23.50969,84.97527,539,10.8,1055,0.47,agriculture,shale,575,0.3,36.8,50.4,30.1,Seasonal,contact spring,VIL-002,Jariya,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-015,23.45732,85.00701,529,27.5,1030,0.54,agriculture,sandstone,158,0.86,29.2,53.1,28.3,Seasonal,contact spring,VIL-003,Kulhi,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-016,23.44748,84.88044,528,11.4,1399,0.77,settlement,clay,262,0.3,8.6,59.1,17.2,Perennial,fracture spring,VIL-004,Biren,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-017,23.44077,84.9371,541,23.2,1038,0.52,forest,clay,869,0.43,28.4,42.2,28.2,Seasonal,fracture spring,VIL-005,Toto,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-018,23.42062,84.99324,811,24.6,1061,0.78,agroforestry,weathered_granite,883,0.28,5.8,53.9,30.5,Seasonal,seep,VIL-006,Silam,Jharkhand,Jharkhand-Odisha-Chhattisgarh Belt
SPR-019,22.93401,78.61337,542,9.0,1092,0.49,settlement,fractured_rock,1068,0.24,34.0,49.6,30.5,Seasonal,depression spring,VIL-013,Mandla,Madhya Pradesh,Madhya Pradesh Tribal Belt
SPR-020,22.87537,78.58859,480,17.8,746,0.69,agroforestry,fractured_rock,502,0.52,29.8,49.1,20.1,Seasonal,fracture spring,VIL-014,Dindori,Madhya Pradesh,Madhya Pradesh Tribal Belt
SPR-021,22.94593,78.6371,549,8.0,825,0.67,grassland,weathered_granite,367,0.43,18.9,54.0,29.1,Seasonal,depression spring,VIL-015,Kukshi,Madhya Pradesh,Madhya Pradesh Tribal Belt
SPR-022,22.85495,78.54637,574,5.6,927,0.42,grassland,weathered_granite,262,0.73,24.4,56.0,30.3,Perennial,depression spring,VIL-016,Alirajpur,Madhya Pradesh,Madhya Pradesh Tribal Belt
SPR-023,22.90881,78.71379,570,12.9,813,0.57,agriculture,fractured_rock,1049,0.29,16.4,48.9,26.8,Seasonal,seep,VIL-017,Jhabua,Madhya Pradesh,Madhya Pradesh Tribal Belt
SPR-024,22.86235,78.49925,604,4.1,865,0.55,agroforestry,sandstone,564,0.3,25.7,57.7,26.0,Perennial,seep,VIL-018,Betul,Madhya Pradesh,Madhya Pradesh Tribal Belt
SPR-025,22.93835,78.67157,591,13.4,885,0.51,settlement,fractured_rock,181,0.47,22.3,50.2,27.2,Seasonal,depression spring,VIL-019,Seoni,Madhya Pradesh,Madhya Pradesh Tribal Belt
SPR-026,22.84338,78.62658,501,15.5,919,0.69,grassland,sandstone,314,0.3,25.2,50.8,23.4,Seasonal,fracture spring,VIL-020,Chhindwara,Madhya Pradesh,Madhya Pradesh Tribal Belt
SPR-027,22.95324,78.53732,435,7.1,827,0.5,forest,weathered_granite,775,0.67,9.7,53.9,29.9,Seasonal,depression spring,VIL-021,Anuppur,Madhya Pradesh,Madhya Pradesh Tribal Belt
